iter	Recall	Logloss
736	0.8245743893	0.4591394396
737	0.8238341969	0.4591056913
738	0.8238341969	0.459080826
739	0.8238341969	0.4590162804
740	0.8238341969	0.4589935018
741	0.8245743893	0.4589660425
742	0.8245743893	0.4589211021
743	0.8245743893	0.4589009449
744	0.8245743893	0.4588687849
745	0.8238341969	0.4588269382
746	0.8238341969	0.4587939149
747	0.8245743893	0.458760828
748	0.8245743893	0.4587337146
749	0.8245743893	0.4587126259
750	0.8245743893	0.4586884606
751	0.8245743893	0.4586397362
752	0.8245743893	0.4585964065
753	0.8245743893	0.4585803855
754	0.8238341969	0.4585403486
755	0.8238341969	0.458509132
756	0.8238341969	0.4584900668
757	0.8238341969	0.458463393
758	0.8238341969	0.4584093833
759	0.8245743893	0.4583895401
760	0.8245743893	0.4583528923
761	0.8245743893	0.4583146643
762	0.8245743893	0.4582644403
763	0.8245743893	0.4582364297
764	0.8245743893	0.458204083
765	0.8245743893	0.4581687456
766	0.8238341969	0.4581523654
767	0.8253145818	0.4581142051
768	0.8253145818	0.4580910634
769	0.8253145818	0.4580678894
770	0.8253145818	0.4580474121
771	0.8253145818	0.4580002924
772	0.8253145818	0.4579553701
773	0.8253145818	0.4579089201
774	0.8253145818	0.4578721448
775	0.8253145818	0.4578299318
776	0.8253145818	0.4577860722
777	0.8253145818	0.4577417831
778	0.8253145818	0.4577091275
779	0.8253145818	0.4576794502
780	0.8253145818	0.4576363716
781	0.8253145818	0.4575961765
782	0.8253145818	0.4575758937
783	0.8253145818	0.4575305204
784	0.8253145818	0.4575035501
785	0.8253145818	0.4574499044
786	0.8253145818	0.4574048701
787	0.8253145818	0.4574010541
788	0.8245743893	0.4573477283
789	0.8245743893	0.4573468023
790	0.8245743893	0.4573270518
791	0.8245743893	0.4573037188
792	0.8253145818	0.4572655953
793	0.8253145818	0.4572461188
794	0.8260547742	0.4572180659
795	0.8260547742	0.4571731789
796	0.8260547742	0.4571285968
797	0.8260547742	0.4570663715
798	0.8260547742	0.4570280309
799	0.8260547742	0.4570019731
800	0.8260547742	0.4569463589
801	0.8260547742	0.456921986
802	0.8260547742	0.4568887733
803	0.8260547742	0.4568611475
804	0.8260547742	0.4568087513
805	0.8260547742	0.4567812215
806	0.8260547742	0.4567407753
807	0.8260547742	0.4567104372
808	0.8260547742	0.4566890033
809	0.8260547742	0.4566765542
810	0.8260547742	0.4566521525
811	0.8260547742	0.456652015
812	0.8260547742	0.4566284729
813	0.8260547742	0.4565911374
814	0.8260547742	0.4565465596
815	0.8260547742	0.4564901602
816	0.8260547742	0.4564662767
817	0.8260547742	0.4564352457
818	0.8267949667	0.4564056827
819	0.8267949667	0.4563711271
820	0.8267949667	0.4563323557
821	0.8260547742	0.4562810529
822	0.8267949667	0.4562604861
823	0.8267949667	0.4562409389
824	0.8267949667	0.4562224804
825	0.8267949667	0.4562003543
826	0.8267949667	0.4561692563
827	0.8260547742	0.4561292316
828	0.8260547742	0.4560901299
829	0.8260547742	0.4560691407
830	0.8260547742	0.4560548367
831	0.8260547742	0.456026189
832	0.8260547742	0.455986481
833	0.8260547742	0.4559635998
834	0.8260547742	0.4559217804
835	0.8260547742	0.4558852835
836	0.8260547742	0.4558263844
837	0.8260547742	0.4557996341
838	0.8260547742	0.4557607071
839	0.8260547742	0.4557354539
840	0.8260547742	0.4556911865
841	0.8260547742	0.45563161
842	0.8260547742	0.4555925501
843	0.8260547742	0.455576838
844	0.8260547742	0.4555175619
845	0.8260547742	0.4554862473
846	0.8260547742	0.4554334593
847	0.8260547742	0.4554035725
848	0.8260547742	0.4553797421
849	0.8260547742	0.4553611384
850	0.8260547742	0.4553324624
851	0.8260547742	0.455285978
852	0.8260547742	0.4552487687
853	0.8260547742	0.4552110156
854	0.8260547742	0.4551536702
855	0.8260547742	0.4551300361
856	0.8260547742	0.4550741423
857	0.8260547742	0.455040869
858	0.8260547742	0.4550152917
859	0.8260547742	0.454999775
860	0.8260547742	0.4549750005
861	0.8260547742	0.4549402144
862	0.8260547742	0.4548972196
863	0.8260547742	0.4548333086
864	0.8260547742	0.4547968862
865	0.8260547742	0.4547518967
866	0.8267949667	0.4547087218
867	0.8267949667	0.454661866
868	0.8267949667	0.4546189834
869	0.8267949667	0.4545941314
870	0.8267949667	0.454565091
871	0.8267949667	0.4545298593
872	0.8267949667	0.4544868994
873	0.8267949667	0.454416567
874	0.8267949667	0.4543791897
875	0.8267949667	0.4543432462
876	0.8267949667	0.4542952843
877	0.8267949667	0.4542312975
